ID, administrator
name, administrator
ID, 830
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2020-09-09T16:24:44.939
endDateTime, 2020-09-09T16:28:30.527
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 225.589
ModuleTime, 225.589
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, 
876, TE CH4 Posistive Direction Check, 2020-09-09T16:28:05.821, 2020-09-09T16:28:06.586, ID#:5MY0Qves/0Smny/+tmcmqA, Test, NumericLimitTest, Main, 0, 53, 0.764664, 0.764664, Passed, Numeric, 10.64061926667, AND, LimitPair, N.A, ampere, 10.165, 11.235, 
877, TE CH4 Negative Direction Check, 2020-09-09T16:28:06.590, 2020-09-09T16:28:07.369, ID#:Y+gR6YcIxU+RqEpITdJ/AB, Test, NumericLimitTest, Main, 0, 54, 0.779698, 0.779698, Passed, Numeric, -10.63747933333, AND, LimitPair, N.A, ampere, -11.235, -10.165, 
878, TE CH5 Posistive Direction Check, 2020-09-09T16:28:07.373, 2020-09-09T16:28:08.137, ID#:BaOtgXz+REuaodw2owY5qD, Test, NumericLimitTest, Main, 0, 55, 0.764085, 0.764085, Passed, Numeric, 10.71754535, AND, LimitPair, N.A, ampere, 10.165, 11.235, 
879, TE CH5 Negative Direction Check, 2020-09-09T16:28:08.143, 2020-09-09T16:28:08.907, ID#:VE/CPzbXEUGoC2cohZLciB, Test, NumericLimitTest, Main, 0, 56, 0.764167, 0.764167, Passed, Numeric, -10.70973636667, AND, LimitPair, N.A, ampere, -11.235, -10.165, 
880, TE CH0 4.9A Current Check, 2020-09-09T16:28:08.911, 2020-09-09T16:28:09.680, ID#:HXtev7hBbEqHckdeyDggjC, Test, NumericLimitTest, Main, 0, 57, 0.768474, 0.768474, Passed, Numeric, 4.915286366667, AND, LimitPair, N.A, ampere, 4.65, 5.15, 
881, TE CH1 4.9A Current Check, 2020-09-09T16:28:09.684, 2020-09-09T16:28:10.480, ID#:E9ohR7rRd06h1Ub0N5DZyA, Test, NumericLimitTest, Main, 0, 58, 0.796094, 0.796094, Passed, Numeric, 4.928303616667, AND, LimitPair, N.A, ampere, 4.65, 5.15, 
882, TE CH2 4.9A Current Check, 2020-09-09T16:28:10.485, 2020-09-09T16:28:11.251, ID#:Y3I5o2JSWECvuZc5LEbuSC, Test, NumericLimitTest, Main, 0, 59, 0.766107, 0.766107, Passed, Numeric, 4.933213066667, AND, LimitPair, N.A, ampere, 4.65, 5.15, 
883, TE CH3 4.9A Current Check, 2020-09-09T16:28:11.255, 2020-09-09T16:28:12.020, ID#:cgTfSE0f50qk4vd7/g62eA, Test, NumericLimitTest, Main, 0, 60, 0.76479, 0.76479, Passed, Numeric, 4.8885068, AND, LimitPair, N.A, ampere, 4.65, 5.15, 
884, TE CH4 4.9A Current Check, 2020-09-09T16:28:12.025, 2020-09-09T16:28:12.791, ID#:qZmQ+0ejzUCfnDZbcGD3FD, Test, NumericLimitTest, Main, 0, 61, 0.766636, 0.766636, Passed, Numeric, 4.815914333333, AND, LimitPair, N.A, ampere, 4.65, 5.15, 
885, TE CH5 4.9A Current Check, 2020-09-09T16:28:12.795, 2020-09-09T16:28:13.565, ID#:W+O0m6YLCUyKsJZATJ5u7D, Test, NumericLimitTest, Main, 0, 62, 0.769582, 0.769582, Aborted, Numeric, 4.921123233333, AND, LimitPair, N.A, ampere, 4.65, 5.15, 
886, Power Off, 2020-09-09T16:28:13.565, 2020-09-09T16:28:15.198, ID#:+HcHQC/MrEW6zKqBfNUvNB, SessionAction, Action, Cleanup, 0, 0, 1.63284, 1.63284, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
887, DC Power Off, 2020-09-09T16:28:15.198, 2020-09-09T16:28:15.517, ID#:uHxAHNpOc02A2ZVKR0dFLB, SessionAction, Action, Cleanup, 0, 1, 0.319395, 0.319395, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
888, Wait 10, 2020-09-09T16:28:15.518, 2020-09-09T16:28:30.518, ID#:vYX24mrHDEm0g32FqlewxC, SessionAction, NI_Wait, Cleanup, 0, 2, 15.0003, 15.0003, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
