ID, administrator
name, administrator
ID, 3
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2020-08-05T16:11:09.923
endDateTime, 2020-08-05T16:24:20.634
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, true
TotalTime, 9
ModuleTime, 790.712
Outcome, Failed
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, LoopIndex, Event ID, Severity, Error source, 
70, TE CH4 1.3A Current Check (Loop Index:6), 2020-08-05T16:15:14.823, 2020-08-05T16:15:15.618, ID#:OWUY9JrbL0y0W9igGkvdlC, Test, NumericLimitTest, Main, 0, 67, 0.794865, 0.794865, Passed, Numeric, 1.457010205, AND, LimitPair, N.A, ampere, 1.314, 1.64, 6, N.A, N.A, N.A, 
71, TE CH4 1.3A Current Check (Loop Index:7), 2020-08-05T16:15:15.620, 2020-08-05T16:15:16.404, ID#:OWUY9JrbL0y0W9igGkvdlC, Test, NumericLimitTest, Main, 0, 67, 0.783304, 0.783304, Passed, Numeric, 1.45830502, AND, LimitPair, N.A, ampere, 1.314, 1.64, 7, N.A, N.A, N.A, 
72, TE CH5 1.3A Current Check, 2020-08-05T16:15:16.410, 2020-08-05T16:15:17.195, ID#:R0Ef4Ih3eUiMFNQqMTjZUA, Test, NumericLimitTest, Main, 0, 68, 0.784818, 0.784818, Passed, Numeric, 1.500563176667, AND, LimitPair, N.A, ampere, 1.314, 1.64, 1, N.A, N.A, N.A, 
73, Heartbeat Led Test, 2020-08-05T16:15:17.201, 2020-08-05T16:15:21.430, ID#:EyKgFGEY0kqT47pLtUVfGB, Test, PassFailTest, Main, 0, 69, 4.22903, 4.22903, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
74, External Led Blinking Test, 2020-08-05T16:15:21.436, 2020-08-05T16:15:26.501, ID#:+qhaouIhzUSi4J9NjcFEqB, Test, PassFailTest, Main, 0, 70, 5.06537, 5.06537, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
75, Low Lid 1 Voltage Check, 2020-08-05T16:15:26.513, 2020-08-05T16:15:27.321, ID#:fVk977wyHUOWQIPid4rfrB, Test, NumericLimitTest, Main, 0, 72, 0.808722, 0.808722, Passed, Numeric, 19.5481398, AND, LimitPair, N.A, volt, 18.7435, 20.7165, N.A, N.A, N.A, N.A, 
76, Low Lid 2 Voltage Check, 2020-08-05T16:15:27.326, 2020-08-05T16:15:28.137, ID#:H0kPcLeDmEypF9qrc47cCD, Test, NumericLimitTest, Main, 0, 73, 0.810358, 0.810358, Passed, Numeric, 19.6587237, AND, LimitPair, N.A, volt, 18.7435, 20.7165, N.A, N.A, N.A, N.A, 
77, Hi Lid 1 Voltage Check, 2020-08-05T16:15:28.141, 2020-08-05T16:15:28.952, ID#:Kk4NQpJUCECGblV0OdhKVB, Test, NumericLimitTest, Main, 0, 74, 0.81105, 0.81105, Passed, Numeric, 33.9525306, AND, LimitPair, N.A, volt, 32.585, 36.015, N.A, N.A, N.A, N.A, 
78, Hi Lid 2 Voltage Check, 2020-08-05T16:15:28.958, 2020-08-05T16:15:29.770, ID#:MnCzhIui3U2w2Fy2/4Z6cD, Test, NumericLimitTest, Main, 0, 75, 0.811561, 0.811561, Passed, Numeric, 34.0984624, AND, LimitPair, N.A, volt, 32.585, 36.015, N.A, N.A, N.A, N.A, 
79, Fan 1 Low Speed Check, 2020-08-05T16:15:29.778, 2020-08-05T16:19:04.517, ID#:hGUIrpOepkadnsvGtzvEvB, Test, NumericLimitTest, Main, 0, 77, 214.739, 214.739, Aborted, Error, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, Error Message, 4, Error.Msg, 
