ID, administrator
name, administrator
ID, 563
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2022-04-07T05:31:44.101
endDateTime, 2022-04-07T05:35:27.770
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 223.67
ModuleTime, 223.67
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, 
605, TE CH2 Posistive Direction Check, 2022-04-07T05:35:14.357, 2022-04-07T05:35:15.150, ID#:KJVxC0mgxESHhK9gy2wDBD, Test, NumericLimitTest, Main, 0, 49, 0.792785, 0.792785, Passed, Numeric, 10.68944615, AND, LimitPair, N.A, ampere, 10.165, 11.235, 
606, TE CH2 Negative Direction Check, 2022-04-07T05:35:15.162, 2022-04-07T05:35:15.942, ID#:rm6qR2MdC0+ViheEO+3QWC, Test, NumericLimitTest, Main, 0, 50, 0.780107, 0.780107, Passed, Numeric, -10.69359501667, AND, LimitPair, N.A, ampere, -11.235, -10.165, 
607, TE CH3 Posistive Direction Check, 2022-04-07T05:35:15.954, 2022-04-07T05:35:16.760, ID#:wRiEJh5U+Eun0KY+R/t4tC, Test, NumericLimitTest, Main, 0, 51, 0.806035, 0.806035, Passed, Numeric, 10.62669476667, AND, LimitPair, N.A, ampere, 10.165, 11.235, 
608, TE CH3 Negative Direction Check, 2022-04-07T05:35:16.772, 2022-04-07T05:35:17.595, ID#:coDVB3H0dkyDIE9HayPZJB, Test, NumericLimitTest, Main, 0, true, 52, 0.822944, Failed, Numeric, 5.803177266667e-005, AND, LimitPair, N.A, ampere, -11.235, -10.165, 
609, TE CH4 Posistive Direction Check, 2022-04-07T05:35:17.608, 2022-04-07T05:35:18.402, ID#:5MY0Qves/0Smny/+tmcmqA, Test, NumericLimitTest, Main, 0, 53, 0.794556, 0.794556, Passed, Numeric, 10.68174471667, AND, LimitPair, N.A, ampere, 10.165, 11.235, 
610, TE CH4 Negative Direction Check, 2022-04-07T05:35:18.406, 2022-04-07T05:35:19.189, ID#:Y+gR6YcIxU+RqEpITdJ/AB, Test, NumericLimitTest, Main, 0, 54, 0.783894, 0.783894, Passed, Numeric, -10.68808543333, AND, LimitPair, N.A, ampere, -11.235, -10.165, 
611, TE CH5 Posistive Direction Check, 2022-04-07T05:35:19.202, 2022-04-07T05:35:19.991, ID#:BaOtgXz+REuaodw2owY5qD, Test, NumericLimitTest, Main, 0, 55, 0.789435, 0.789435, Passed, Numeric, 10.73153676667, AND, LimitPair, N.A, ampere, 10.165, 11.235, 
612, TE CH5 Negative Direction Check, 2022-04-07T05:35:20.003, 2022-04-07T05:35:20.842, ID#:VE/CPzbXEUGoC2cohZLciB, Test, NumericLimitTest, Main, 0, 56, 0.839021, 0.839021, Passed, Numeric, -10.7304752, AND, LimitPair, N.A, ampere, -11.235, -10.165, 
613, TE CH0 4.9A Current Check, 2022-04-07T05:35:20.855, 2022-04-07T05:35:21.653, ID#:HXtev7hBbEqHckdeyDggjC, Test, NumericLimitTest, Main, 0, 57, 0.798091, 0.798091, Passed, Numeric, 4.96549645, AND, LimitPair, N.A, ampere, 4.65, 5.15, 
614, TE CH1 4.9A Current Check, 2022-04-07T05:35:21.659, 2022-04-07T05:35:22.430, ID#:E9ohR7rRd06h1Ub0N5DZyA, Test, NumericLimitTest, Main, 0, 58, 0.771333, 0.771333, Passed, Numeric, 4.961312216667, AND, LimitPair, N.A, ampere, 4.65, 5.15, 
615, TE CH2 4.9A Current Check, 2022-04-07T05:35:22.443, 2022-04-07T05:35:23.291, ID#:Y3I5o2JSWECvuZc5LEbuSC, Test, NumericLimitTest, Main, 0, 59, 0.848597, 0.848597, Passed, Numeric, 4.952725116667, AND, LimitPair, N.A, ampere, 4.65, 5.15, 
616, TE CH3 4.9A Current Check, 2022-04-07T05:35:23.303, 2022-04-07T05:35:24.187, ID#:cgTfSE0f50qk4vd7/g62eA, Test, NumericLimitTest, Main, 0, 60, 0.884047, 0.884047, Failed, Numeric, -8.100801783333e-006, AND, LimitPair, N.A, ampere, 4.65, 5.15, 
617, TE CH4 4.9A Current Check, 2022-04-07T05:35:24.200, 2022-04-07T05:35:25.100, ID#:qZmQ+0ejzUCfnDZbcGD3FD, Test, NumericLimitTest, Main, 0, 61, 0.900346, 0.900346, Passed, Numeric, 4.900647233333, AND, LimitPair, N.A, ampere, 4.65, 5.15, 
618, TE CH5 4.9A Current Check, 2022-04-07T05:35:25.111, 2022-04-07T05:35:25.885, ID#:W+O0m6YLCUyKsJZATJ5u7D, Test, NumericLimitTest, Main, 0, 62, 0.773972, 0.773972, Passed, Numeric, 4.965618816667, AND, LimitPair, N.A, ampere, 4.65, 5.15, 
619, TE CH0 1.3A Current Check, 2022-04-07T05:35:25.923, 2022-04-07T05:35:26.736, ID#:zAMmmENuhU6nwXzNCkCpAB, Test, NumericLimitTest, Main, 0, 63, 0.812844, 0.812844, Passed, Numeric, 1.491241718333, AND, LimitPair, N.A, ampere, 1.214, 1.64, 
620, Power Off, 2022-04-07T05:35:26.941, 2022-04-07T05:35:27.004, ID#:+HcHQC/MrEW6zKqBfNUvNB, SessionAction, Action, Cleanup, 0, 0, 0.062819, 0.062819, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
621, DC Power Off, 2022-04-07T05:35:27.004, 2022-04-07T05:35:27.295, ID#:uHxAHNpOc02A2ZVKR0dFLB, SessionAction, Action, Cleanup, 0, 1, 0.291149, 0.291149, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
622, Wait 10, 2022-04-07T05:35:27.295, 2022-04-07T05:35:27.746, ID#:vYX24mrHDEm0g32FqlewxC, Test, NI_Wait, Cleanup, 0, 2, 0.450485, 0.450485, Aborted, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
